AAPL,NFLX,AMZN,MMM,K,O,NSRGY,LDSVF,JPM,JNJ,TSLA,V,PFE
10.033841,26.012857,177.419998,67.114082,37.433529,21.090826,40.543678,1985.528809,34.082462,46.434784,4.608,16.272518,11.820764
10.363362,26.280001,176.850006,67.888275,37.361481,21.315264,41.341404,1985.528809,33.879269,46.1087,4.898,16.65295,11.878707
10.484672,26.677143,176.699997,66.520287,37.275021,21.645679,41.363567,1985.528809,33.766392,45.263897,4.936,16.604229,11.891582
10.559914,26.147142,175.389999,67.324524,37.109276,21.701777,40.868679,1985.528809,33.849174,44.908176,4.95,16.469688,11.820764
10.540259,30.124287,184.449997,67.038918,36.640907,21.895052,40.233448,1985.528809,33.939476,44.967472,4.984,16.376905,11.89802
10.321906,31.139999,171.139999,65.723557,36.381516,21.622107,40.01186,1985.528809,33.518055,44.470963,4.802,16.112457,11.685556
10.420792,30.582857,169.639999,66.08432,36.244595,21.885035,40.048794,1985.528809,33.819073,44.293106,4.82,16.202923,11.730624
10.596152,30.414286,172.110001,65.986603,36.172531,21.960155,40.772652,1985.528809,34.564087,44.930424,4.782,16.400093,12.374457
10.574347,30.18,173.529999,65.956558,36.287838,21.797405,40.624931,1985.528809,34.202858,44.923019,4.788,16.72253,12.335421
10.547321,30.212856,173.710007,66.106865,37.844261,21.910069,40.624931,1985.528809,34.210384,45.056389,4.726,16.615833,12.472046
10.641298,31.438572,175.929993,66.362457,38.492767,21.628376,40.218678,1985.528809,33.555695,45.086044,4.692,16.910425,12.556624
10.806523,31.145714,176.429993,66.738274,38.370266,21.803654,39.886292,1985.528809,34.240498,45.10828,4.614,17.149345,12.38747
10.908483,31.09,183.059998,67.249367,38.399101,21.897551,39.465267,1985.528809,34.421101,45.160149,4.898,17.297815,12.46554
10.999385,31.755714,185.300003,68.234016,38.262188,21.822435,39.051636,2211.056396,33.946999,45.115688,4.642,17.032831,12.393976
10.88821,31.885714,186.210007,67.993484,38.053226,21.935127,39.25845,2314.074219,34.263065,45.152737,4.644,17.372194,12.380963
10.959155,33.009998,189.25,69.000725,38.254982,21.784868,39.472656,2314.074219,35.045727,44.982296,4.65,17.416351,12.250848
11.030712,35.364285,190.419998,69.075867,38.536015,21.97267,39.443111,2314.074219,35.023129,44.982296,4.616,17.604633,12.393976
11.052823,34.398571,189.029999,69.151031,38.19014,21.77235,40.115269,2314.074219,35.233852,44.923019,4.568,17.574417,12.393976
11.152017,33.959999,186.619995,69.816452,38.139698,21.928856,40.41811,2314.074219,36.076687,44.8489,4.946,17.655762,12.543614
11.003684,33.66143,187.759995,70.118912,38.19014,22.104143,41.164127,2314.074219,35.986382,45.048996,4.72,17.697599,12.602171
10.765984,33.644287,186.5,70.292824,38.19735,22.210562,40.912994,2314.074219,36.121826,45.286129,4.636,17.625546,12.485059
10.39899,31.657143,180.419998,69.566917,38.327034,22.204298,41.105045,2299.498535,34.62429,44.945244,4.374,17.139759,12.289881
10.522141,30.171429,176.679993,68.251205,38.521595,22.066578,41.887993,2405.629395,34.586658,44.752571,4.366,16.939861,12.205297
10.530123,30.74,177.75,68.077278,38.262188,21.922606,41.939701,2405.629395,34.549023,44.648823,4.506,17.179274,12.296383
10.692277,30.348572,177.240005,68.243614,38.592564,22.402832,41.659019,2127.036865,35.128479,44.596474,4.722,17.358248,12.270361
10.847367,29.524286,173.289993,69.740852,38.890285,22.610262,41.821514,2127.036865,35.136002,45.942448,4.778,16.979374,12.51759
10.727593,29.232857,169.440002,68.402412,38.476402,22.101109,41.703335,2127.036865,34.315746,45.389095,4.788,16.898027,12.452529
10.813891,29.175714,172.020004,69.052734,38.607094,21.925104,42.065266,2127.036865,34.022251,45.471359,4.804,17.193222,12.485059
11.042382,29.052856,172.789993,70.179413,39.187981,22.094837,41.984016,2363.177002,34.676964,45.650826,4.872,17.625546,12.862403
11.055893,30.102858,171.669998,69.710602,39.449371,21.925104,41.348782,2363.177002,34.255531,45.658306,4.99,17.360571,12.790844
10.913398,29.628571,169.080002,69.869377,39.333191,21.956551,41.260155,2432.162109,34.007191,45.164768,4.988,17.235058,12.758311
10.92568,27.921429,166.889999,70.89019,39.601864,22.15769,41.001629,2432.162109,34.917782,45.396587,4.932,17.239704,12.803855
10.824638,27.57,169.050003,70.451622,39.863262,21.811964,41.119808,2432.162109,35.038185,45.164768,4.944,17.132782,12.790844
10.646519,28.574286,166.139999,68.062157,39.863262,21.591961,40.780033,2432.162109,34.263065,44.574051,4.802,16.59586,12.595658
10.809897,29.219999,168.070007,69.272034,39.964916,21.711391,41.023792,2432.162109,34.421101,44.633862,4.814,16.853863,12.667226
10.858118,28.742857,166.729996,68.82589,39.601864,21.598249,40.942539,2474.614502,34.089985,44.215111,4.65,16.70278,12.888436
10.60844,31.015715,165.080002,67.676521,39.26059,21.62339,39.782887,2474.614502,33.570724,43.729076,4.59,16.549379,12.855901
10.134875,30.548571,164.699997,66.201988,38.955635,21.529102,39.635155,2474.614502,32.968708,43.11591,4.564,16.493589,12.556624
10.27707,30.557142,160.970001,67.064041,38.810406,21.723972,40.868679,2474.614502,33.533104,43.467354,4.562,16.602835,12.933975
10.155145,29.914286,161.820007,67.283318,39.333191,21.774254,40.632313,2474.614502,34.421101,43.796379,4.592,16.600504,13.129155
10.420177,30.405714,164.520004,68.772949,39.282372,21.84968,41.599918,2474.614502,34.338314,43.990791,4.546,16.726021,12.999035
10.47853,31.627144,162.600006,68.583916,39.187981,21.642239,41.260155,2474.614502,34.217911,43.960884,4.438,16.642345,12.973014
10.4168,32.722858,165.320007,69.672783,38.962887,21.510242,42.035717,2474.614502,34.315746,43.908527,4.442,16.732996,12.959998
10.594311,32.732857,171.100006,70.005493,38.91206,21.629673,42.11697,2474.614502,34.413578,44.140343,4.466,16.888725,13.207226
10.79608,32.85857,170.979996,69.771088,38.766838,21.761694,41.932316,2474.614502,34.511406,44.102947,4.55,16.756233,13.239757
10.762299,33.902859,169.350006,69.657669,39.020966,21.780542,42.176056,2474.614502,34.586658,44.297371,4.65,16.909649,13.187708
10.778268,33.91143,174.619995,70.202103,39.122627,21.855972,42.272091,2474.614502,34.631813,44.282425,4.784,16.781807,13.259275
10.706712,33.992859,179.419998,69.92231,39.137146,21.985373,42.83345,2474.614502,34.955414,44.402054,4.742,17.253651,13.233247
10.703026,33.968571,180.130005,70.701164,39.195248,22.061127,42.456741,2595.780518,34.692024,44.304836,5.55,17.111866,13.213733
10.581715,34.584286,180.130005,70.421379,39.209766,22.02956,42.294243,2595.780518,34.880142,44.484318,5.332,17.251326,13.259275
10.478225,34.959999,182.940002,70.807037,39.37677,22.117926,42.515823,2595.780518,35.061745,44.977837,5.166,17.488411,13.363373
10.40759,34.889999,185.289993,70.617966,39.17345,22.092661,42.604469,2595.780518,35.243328,44.716103,5.34,17.576735,13.304814
10.381486,34.281429,182.759995,70.943138,39.398544,22.124239,42.899921,2595.780518,36.045341,44.611427,5.298,17.665058,13.200716
10.382711,33.422855,184.910004,70.466759,39.231548,21.909611,42.83345,2595.780518,35.863758,44.476837,5.448,17.760351,13.226748
10.289967,33.55143,184.710007,70.489449,39.166199,21.865438,43.055038,2595.780518,35.440037,44.461876,5.298,17.832417,13.311327
10.159135,32.594288,184.039993,70.928024,39.725288,21.83387,43.195377,2918.594482,35.455173,44.760986,5.054,18.062525,13.447951
10.208276,33.417145,180.479996,69.84671,39.681728,21.878048,43.291401,2918.594482,35.288719,44.820805,4.93,17.904463,13.311327
10.322826,34.107143,182.289993,70.217194,39.855988,21.802305,43.380035,2918.594482,34.993641,44.56657,4.986,18.013714,13.311327
10.20889,33.818569,181.820007,70.277733,40.11739,22.048504,44.170372,2918.594482,34.025169,44.880623,5.028,17.737116,13.330841
10.056561,33.64143,180.009995,70.186981,40.204517,22.136856,45.160149,2918.594482,33.964642,45.284416,5.116,17.774309,13.356865
10.191384,33.332855,178.339996,69.151031,40.059311,21.884367,44.534832,2918.594482,33.260983,45.209644,5.006,17.590679,13.272288
10.375954,34.507141,178.820007,69.461075,40.081097,22.073746,45.366043,2918.594482,33.783047,46.877151,5.032,17.646461,13.356865
10.515693,34.918571,183.869995,70.897758,40.364273,22.275723,46.059998,2918.594482,33.714954,48.148335,5.15,17.983494,13.265782
10.770284,36.031429,185.889999,71.018753,40.211784,22.414585,46.586178,2918.594482,33.805752,47.909046,5.348,18.076473,12.875422
10.841225,35.952858,185.419998,71.169991,40.182743,22.496651,46.837833,2918.594482,33.752781,47.938961,5.278,18.074154,13.103128
10.761683,32.701427,182.300003,72.546204,40.487709,22.553474,46.982719,2918.594482,34.138664,48.567081,5.386,18.308899,13.135662
10.753392,33.708572,196.630005,72.946999,40.908859,22.736513,47.165741,2918.594482,34.426182,49.030693,5.416,18.3368,13.421926
10.648976,33.48143,195.070007,73.521667,41.271904,22.860098,46.959839,2918.594482,34.690983,48.888626,5.532,18.050907,13.552044
10.752778,33.238571,195.809998,73.506538,41.584129,22.530539,47.432644,2918.594482,34.524529,49.142864,5.52,18.157825,13.643132
10.634542,33.884285,201.190002,73.287239,41.584129,22.511528,47.638538,2918.594482,34.184052,49.509258,5.49,18.394905,13.675661
10.693504,33.034286,198.449997,73.219193,41.707565,22.536879,47.928322,2918.594482,34.743961,49.54665,5.374,18.594799,13.298315
10.735583,32.741428,199.970001,72.742821,41.213825,22.511528,47.84444,2918.594482,34.426182,49.10545,5.338,18.54134,13.42843
10.648976,32.901428,197.110001,71.774918,41.061344,22.536879,47.211491,2918.594482,34.176491,48.611954,5.288,18.292631,13.265782
10.64621,32.781429,197.600006,72.289085,41.206547,22.327734,46.837833,2998.192627,34.078133,48.80637,5.424,18.457668,13.36988
10.67508,33.772858,200.800003,72.583992,40.959675,22.397438,47.165741,2998.192627,34.017601,49.075562,5.582,18.562262,13.402405
10.731894,33.947144,203.940002,72.372292,41.380825,22.467157,46.784447,2998.192627,34.168926,49.172783,5.666,18.676149,13.571563
10.663718,34.381428,204.380005,72.2286,41.141209,22.277037,46.25827,2662.112061,33.465267,49.778458,5.414,18.441387,13.538719
10.643447,35.110001,206.070007,73.083076,41.751137,22.33408,47.203869,2662.112061,33.359341,50.242073,5.534,18.578533,13.72265
10.457034,35.217144,202.559998,72.599136,41.794701,22.169292,46.784447,2662.112061,32.648117,49.815853,5.51,18.573881,13.742362
10.235916,33.869999,192.509995,72.183258,41.576859,22.169292,47.089478,2662.112061,32.443825,49.62891,5.32,18.580851,13.781772
10.323134,33.848572,194.809998,70.973381,41.591389,22.162956,47.089478,2662.112061,33.147499,49.651352,5.192,18.734261,13.886883
10.437685,34.648571,197.089996,71.452599,41.504257,22.403788,47.5089,2662.112061,33.351784,49.72612,5.27,18.6318,13.913153
10.457952,34.675713,198.800003,72.038246,41.613163,22.441826,47.60041,2662.112061,33.291256,49.643864,5.64,18.545631,13.814618
10.294883,35.128571,198.649994,71.163551,41.489735,22.258028,47.470772,2662.112061,32.632988,49.12043,5.594,18.217299,13.59127
10.269693,35.404285,196.220001,70.34967,41.235607,22.099567,47.242001,2662.112061,32.194149,49.023212,5.364,17.912233,13.525586
10.201826,35.371429,193.270004,69.954155,41.017773,22.086895,47.280128,2662.112061,32.035255,49.187725,5.344,18.070585,13.4796
10.342788,37.067142,192.259995,70.501793,40.814461,22.023525,47.554657,2662.112061,31.982307,49.569096,5.796,18.338381,13.650392
10.288123,37.67857,195,70.600677,41.228333,22.181963,48.27911,2662.112061,32.118481,49.410694,5.896,18.464128,13.729218
10.362135,37.787144,194.130005,71.095093,41.275871,22.242434,48.69091,2662.112061,32.375751,50.361042,5.91,18.582897,13.748933
10.682141,38.685715,196.690002,71.787254,41.678104,22.363354,49.056946,3095.479248,32.716213,50.75325,6.028,18.876312,14.090516
10.610895,38.18,192.399994,69.551048,41.283188,21.771488,48.492626,3095.479248,31.596428,50.142307,5.704,18.438513,13.827751
10.629012,38.814285,193.649994,69.566246,40.581127,21.714211,48.995937,3095.479248,31.482937,50.142307,5.752,18.79248,13.794912
10.547321,39.099998,188.320007,68.98819,40.164261,21.733294,49.415356,3095.479248,31.452662,49.848141,6.026,18.426878,13.689806
10.381486,37.512856,185.690002,68.927338,40.193527,21.478745,48.980686,3095.479248,30.66577,49.817978,5.74,18.210308,13.624113
10.197216,37.669998,187.550003,69.102287,40.464104,21.612385,48.629894,3095.479248,30.809536,49.403152,5.674,18.587549,13.624113
10.203362,37.465714,188.050003,69.147896,40.573811,21.453281,48.462128,3095.479248,30.559839,49.885868,5.424,17.863335,13.5847
10.180327,37.509998,189.679993,69.946533,40.800514,21.154165,48.340122,3095.479248,31.006258,50.368587,5.524,17.79813,13.630685
10.008657,36.945713,186.529999,69.010986,40.142311,20.543221,47.661415,3095.479248,31.059223,49.848141,5.572,17.392941,13.210269
10.030155,36.745712,186.289993,69.444534,40.52261,20.587763,47.913074,3095.479248,31.528326,50.225273,5.686,17.432526,13.440187
10.209505,37.304287,189.960007,70.42572,40.193527,21.007801,47.913074,3095.479248,31.482937,50.609951,5.72,17.6817,13.519013
10.03476,36.73143,185.979996,69.239174,39.725471,20.842325,46.784447,3095.479248,30.779259,49.900959,5.464,17.427872,13.262822
9.985929,35.614285,183.649994,69.657547,40.032623,21.033258,46.868332,3095.479248,30.537151,50.021637,5.3,17.437183,13.295666
9.835445,35.095715,186.369995,69.809631,40.164261,21.306906,47.188625,3095.479248,30.870071,49.999016,5.3,17.332384,13.308806
9.683733,35.09,187.720001,70.402916,40.405598,21.402359,47.547031,3095.479248,30.627945,50.164951,5.202,17.243908,13.315372
9.990229,36.235714,194.229996,71.064644,40.215446,21.49147,47.707172,3095.479248,30.953291,50.149849,5.506,17.462805,13.420479
9.907616,35.522858,191.630005,70.585464,39.98143,21.326014,47.165741,3095.479248,30.786835,49.83308,5.442,17.38596,13.321945
10.172344,36.531429,194.160004,70.235611,39.579205,20.969612,47.005596,3095.479248,30.317734,49.531349,5.542,17.537319,13.564993
